entry_time,exit_time,dir,ep,exit_price,result,equity,tf
2025-06-26 13:00:00+00:00,2025-06-26 20:32:00+00:00,1,0.60564,0.60564,loss,29000312.527886417,1h
2025-06-26 14:00:00+00:00,2025-06-27 17:50:00+00:00,1,0.6066699999999999,0.6046249642857143,loss,28417456.173782673,1h
2025-06-26 16:00:00+00:00,2025-06-26 20:25:00+00:00,1,0.60673,0.60571575,loss,27843447.611686427,1h
2025-06-26 23:00:00+00:00,2025-06-27 00:54:00+00:00,1,0.60563,0.6067724107142858,win,28811928.01674019,1h
2025-06-27 00:00:00+00:00,2025-06-27 03:27:00+00:00,1,0.60595,0.6076136607142859,win,29816041.768414576,1h
2025-06-27 06:00:00+00:00,2025-06-27 09:31:00+00:00,1,0.60647,0.60647,loss,30114202.18609872,1h
2025-06-29 22:00:00+00:00,2025-06-30 05:04:00+00:00,1,0.60581,0.6077892857142856,win,31164414.712965824,1h
2025-06-30 01:00:00+00:00,2025-06-30 02:54:00+00:00,1,0.60642,0.60642,loss,31476058.860095482,1h
2025-06-30 02:00:00+00:00,2025-06-30 07:27:00+00:00,1,0.6067899999999999,0.6067899999999999,loss,31790819.44869644,1h
2025-06-30 04:00:00+00:00,2025-06-30 05:02:00+00:00,1,0.6065299999999999,0.6076207142857142,win,32896277.631797355,1h
2025-06-30 14:00:00+00:00,2025-06-30 14:56:00+00:00,1,0.60669,0.60669,loss,33225240.408115327,1h
2025-07-01 05:00:00+00:00,2025-07-01 08:54:00+00:00,1,0.6093099999999999,0.6118101785714285,win,34384814.7709253,1h
2025-07-01 18:00:00+00:00,2025-07-02 02:03:00+00:00,1,0.60913,0.60913,loss,34728662.91863455,1h
